Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
3dfa7092-cc7f-4681-a4e2-2b77c982e9be,{a3b76cc6-fcd9-4425-a646-5229bca03375},24,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy25,1,7/15/2024 5:26:12 PM,7/15/2024 5:26:12 PM,,7/15/2024 9:56:20 PM,,0,,
5d5e2ce0-61c7-4ab9-a6e7-163653a1e08b,{d37c9762-c735-4c9e-90c1-927639320b5f},13,01 - Get Field Values,Closing Docs;Initial Parent Priority: 4,P-AZC-Elroy13,1,7/15/2024 9:54:10 PM,7/15/2024 9:54:10 PM,,7/15/2024 9:56:07 PM,,0,,
8b1bf029-d583-448d-a921-b0639d8b0d06,{7b1e922e-2ac4-485e-be7b-57714e6e1e14},23,Loan locked by user,Commitment Letter;Initial Parent Priority: 7;Loan locked by user;Reserved,P-AZC-Elroy14,1,7/15/2024 9:18:42 PM,7/15/2024 9:18:42 PM,7/15/2024 9:55:35 PM,7/15/2024 9:56:07 PM,,112,,
1dbac4f8-9c60-4271-a15e-19501b3ee6b8,{78106f77-0df4-4300-b5bc-8d5191d1ae37},23,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy08,1,7/15/2024 9:53:32 PM,7/15/2024 9:53:32 PM,,7/15/2024 9:56:02 PM,,0,,
a20bcb45-68f5-441f-aaad-39098840bac6,{3a25685a-f7ae-48b1-9ae3-e53971b1398d},13,01 - Get Field Values,Closing Docs;Initial Parent Priority: 4,P-AZC-Elroy02,1,7/15/2024 9:52:11 PM,7/15/2024 9:52:11 PM,,7/15/2024 9:55:49 PM,,0,,
d120b8ab-7453-401c-aaeb-231e495c2022,{e07536c3-fd12-4fae-92f5-8d5a5c64875a},24,,Commitment Letter;Initial Parent Priority: 7;Reserved,P-AZC-Elroy12,1,7/15/2024 5:30:25 PM,7/15/2024 5:30:25 PM,,7/15/2024 9:55:20 PM,,0,,
0b526f04-2bc3-40b2-853a-847b53d74ea2,{aa51cacb-1b59-4485-babe-f68d0d5e96ae},24,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy06,1,7/15/2024 5:28:36 PM,7/15/2024 5:28:36 PM,,7/15/2024 9:55:08 PM,,0,,
400813bf-1902-4da3-9e66-180d0d0acd58,{701e27b1-bb17-456f-a409-5b7065d1affc},13,01 - Opened Loan,Closing Docs;Initial Parent Priority: 4,P-AZC-Elroy16,1,7/15/2024 9:42:56 PM,7/15/2024 9:42:56 PM,7/15/2024 9:52:39 PM,7/15/2024 9:54:42 PM,,61,,
1b8b5b15-8ee0-4f9f-b241-a62d58b0f987,{28ce6a11-b942-42a8-9ba6-09c8ae531bc1},24,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy18,1,7/15/2024 5:25:00 PM,7/15/2024 5:25:00 PM,,7/15/2024 9:54:36 PM,,0,,
d05b194c-aaaa-44ee-8e19-160d8c11f081,{7fb2e414-a92c-4a96-b717-6d2c79c0a29d},24,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy11,1,7/15/2024 5:22:02 PM,7/15/2024 5:22:02 PM,,7/15/2024 9:54:34 PM,,0,,
