Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
9bfda0cf-3bb8-46fa-acb6-79095fa93dd1,{b2bbbba5-5fd0-4e0d-8d16-9b5de6e41c64},23,Complete,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy17,1,9/2/2024 7:28:59 PM,9/2/2024 8:06:00 PM,9/2/2024 7:46:30 PM,,9/2/2024 8:06:00 PM,1126,,
36d6872a-a3e0-46af-9103-f8d094cfeeb2,{b8af9e73-6aa3-483d-8ecc-063d5fb0d294},26,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 6,P-AZC-Elroy02,1,9/2/2024 4:04:11 AM,9/2/2024 9:20:11 AM,9/2/2024 7:32:43 AM,,9/2/2024 9:20:11 AM,1111,,
85a23ba8-77bc-475c-9e73-303c685b087d,{fded4f27-17d9-43fe-b1ff-82964f9d174c},21,Complete,Commitment Letter;Initial Parent Priority: 6,P-AZC-Elroy35,1,9/2/2024 2:29:30 AM,9/2/2024 3:04:43 AM,9/2/2024 2:47:40 AM,,9/2/2024 3:04:43 AM,972,,
a42db750-9f6d-4c5d-a038-f19715edef5e,{18f90aa1-2b85-41f0-b672-bf23d841c3b4},23,Complete,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy35,1,9/1/2024 3:39:54 PM,9/1/2024 4:16:44 PM,9/1/2024 3:58:08 PM,,9/1/2024 4:16:44 PM,1070,,
1c953082-b578-4797-bc1a-91b81432c9c6,{8b05a6b5-f4c3-4dd4-a3aa-7251409579c7},25,Complete,Commitment Letter;Initial Parent Priority: 8,P-AZC-Elroy12,1,9/1/2024 3:04:42 PM,9/1/2024 3:24:17 PM,,,9/1/2024 3:24:17 PM,1082,,
9ed03b85-4fed-4f8e-9ac2-8f854ee6182a,{a5b3b923-517a-4eda-8572-00b422b0c03d},24,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy37,1,8/31/2024 9:27:53 PM,8/31/2024 9:37:07 PM,,,8/31/2024 9:37:07 PM,422,,
5f62e04d-ea05-47e7-b1c2-aaab19c7607d,{eda6aff9-a3b0-4fe4-8316-eedb2a2d5694},26,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 8,P-AZC-Elroy18,1,8/31/2024 5:55:12 PM,8/31/2024 6:03:33 PM,,,8/31/2024 6:03:33 PM,387,,
ed18e969-5833-44ec-a4b0-bace8087e1d9,{e7a6c1ed-aac1-4593-a21c-a8d436fab559},24,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy40,1,8/31/2024 5:33:02 PM,8/31/2024 5:41:50 PM,,,8/31/2024 5:41:50 PM,411,,
09bc9e98-8066-43ac-bce5-7c2cd9b47ed6,{172cfafc-f408-41d3-9234-321365a5da28},24,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy07,1,8/31/2024 4:53:01 PM,8/31/2024 5:16:42 PM,8/31/2024 5:08:42 PM,,8/31/2024 5:16:42 PM,420,,
4872eeaf-dea6-48e0-b9db-b4b65ab8e81f,{c778e4f8-773e-4569-a580-c820d99fcd95},24,Complete Conditions Addendum,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy17,1,8/31/2024 3:56:34 PM,8/31/2024 4:22:42 PM,8/31/2024 4:14:09 PM,,8/31/2024 4:22:42 PM,454,,
