Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
855fab23-7dfc-433f-bb7a-123bcf38671e,16337322-3d22-49ce-9f74-af48e0aba801,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD14,1,9/23/2024 7:45:19 PM,9/23/2024 7:57:06 PM,,,9/23/2024 7:57:06 PM,706,,
18299c7a-9148-4a87-8157-2e1fb805cbe4,14e4e783-8562-4ec8-9a94-4d230b1a08d8,3,2 - Mark as Final CD,Conventional;Redisclosure: 1,P-AZC-Elroy28,1,9/23/2024 7:56:02 PM,9/23/2024 7:56:02 PM,,9/23/2024 7:56:04 PM,,0,,
b63c4697-2f0e-4d1a-9f50-f47dc699f9fe,de235e32-0a33-41cc-a229-9f2eb16927e2,3,5 - Generate Closing Disclosure,Conventional,P-AZC-Elroy27,1,9/23/2024 7:56:02 PM,9/23/2024 7:56:02 PM,,9/23/2024 7:56:02 PM,,0,,
1ececbc3-af64-4afd-9bed-e2f06ba0c099,986f8752-bc8b-4731-aa87-e29bab3e56d3,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD07,1,9/23/2024 7:44:19 PM,9/23/2024 7:55:04 PM,,,9/23/2024 7:55:04 PM,645,,
fb7f9c17-263c-4595-8d82-fc50d3c7e290,01dc575e-cb52-4380-8597-07a6cc9bd46e,1,5 - Generate Closing Disclosure,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-Elroy26,3,9/23/2024 7:10:52 PM,9/23/2024 7:10:52 PM,9/23/2024 7:54:38 PM,9/23/2024 7:54:54 PM,,2025,,
d6b2fe40-8624-4f10-ae35-8b1834214f2c,3aeed26d-539d-4800-9805-e0ebaa01887e,1,5 - Generate Closing Disclosure,,P-AZC-Elroy30,1,9/23/2024 7:54:32 PM,9/23/2024 7:54:32 PM,,9/23/2024 7:54:33 PM,,0,,
f05c7f3e-d808-415a-bae9-ee9a6a56aa34,2240411c-bf06-44de-ad3a-ea3cb357a40f,1,5 - Generate Closing Disclosure,Conventional,P-AZC-ElroyCD13,1,9/23/2024 7:48:32 PM,9/23/2024 7:48:32 PM,9/23/2024 7:53:36 PM,9/23/2024 7:53:48 PM,,4,,
6b1a93f2-0fd1-4fdc-bbcc-6153b834791d,1d3ed5bf-26fb-474f-9c30-f5c1e1cf0643,4,Complete,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.] - Unable to update data via Encompass API - Cause: Loan Locked by User;Conventional;Redisclosure: 1;Run UCD;System Exception,P-AZC-Elroy29,2,9/23/2024 7:12:09 PM,9/23/2024 7:53:28 PM,9/23/2024 7:41:34 PM,,9/23/2024 7:53:28 PM,941,,
39ca8a88-c259-4781-b84d-914b6e4812e0,3637af64-97fe-4330-953c-4db57beeefa7,1,Complete,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.] - Unable to update data via Encompass API - Cause: Loan Locked by User;Conventional;Redisclosure: 1;Run UCD;System Exception,P-AZC-ElroyCD05,2,9/23/2024 7:31:29 PM,9/23/2024 7:53:09 PM,9/23/2024 7:40:27 PM,,9/23/2024 7:53:09 PM,996,,
3ae58ff9-31c7-4e19-8818-71b124507c46,22506487-8b90-4b8e-8db2-fdcda403b5af,4,Complete,Redisclosure: 0,P-AZC-ElroyCD12,1,9/23/2024 7:43:35 PM,9/23/2024 7:52:50 PM,,,9/23/2024 7:52:50 PM,555,,
f74ca2a5-4f70-4d8e-8775-ae6397451b58,4fca5bf1-eb33-4547-aba4-cb1edda82a01,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD10,1,9/23/2024 7:40:30 PM,9/23/2024 7:52:17 PM,,,9/23/2024 7:52:17 PM,695,,
a744a925-54f5-44c2-b74c-7d704d92d8c3,7d4f6e2a-5bdf-46df-933d-c1b1611b445f,1,4 - Send Closing Disclosure,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-ElroyCD06,2,9/23/2024 7:31:29 PM,9/23/2024 7:31:29 PM,9/23/2024 7:51:27 PM,9/23/2024 7:51:39 PM,,898,,
cdda94a5-0a69-4f83-a11e-7a1c05ce243b,26c0d6d1-d030-4fb5-8cb0-5035cc7b3e7e,4,Complete,Redisclosure: 1,P-AZC-Elroy30,1,9/23/2024 7:48:32 PM,9/23/2024 7:51:20 PM,,,9/23/2024 7:51:20 PM,166,,
fb0ada55-c88f-4e3d-8add-4b7d06379cd8,ce0b315a-72fc-478d-8095-42327a6faf0b,3,5 - Generate Closing Disclosure,,P-AZC-ElroyCD15,1,9/23/2024 7:49:40 PM,9/23/2024 7:49:40 PM,,9/23/2024 7:49:40 PM,,0,,
fb7f9c17-263c-4595-8d82-fc50d3c7e290,01dc575e-cb52-4380-8597-07a6cc9bd46e,1,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-ElroyCD13,2,9/23/2024 7:10:52 PM,9/23/2024 7:49:38 PM,9/23/2024 7:34:41 PM,,,2025,9/23/2024 7:49:38 PM,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load"
de318ea6-72cf-42c6-8832-d0b562f3819c,35d64c0e-b121-4523-8ded-8bde7d24e2fb,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-Elroy28,1,9/23/2024 7:36:53 PM,9/23/2024 7:47:46 PM,,,9/23/2024 7:47:46 PM,653,,
7da1e840-da2f-4d01-b646-075785983faa,a5d00784-b302-498f-8f03-e61bcf93d899,4,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-Elroy27,1,9/23/2024 7:42:18 PM,9/23/2024 7:46:40 PM,,,9/23/2024 7:46:40 PM,262,,
a744a925-54f5-44c2-b74c-7d704d92d8c3,7d4f6e2a-5bdf-46df-933d-c1b1611b445f,1,Exception,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-ElroyCD15,1,9/23/2024 7:31:29 PM,9/23/2024 7:46:27 PM,,,,898,9/23/2024 7:46:27 PM,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load"
ed428bfb-3ebd-4273-88f0-209b7e6a4b9a,84b58fda-aa6b-457b-bbc2-65f03c7810b2,1,Complete,Redisclosure: 0,P-AZC-ElroyCD09,1,9/23/2024 7:35:47 PM,9/23/2024 7:45:42 PM,,,9/23/2024 7:45:42 PM,595,,
7956dce3-af3d-48b7-85ae-905540e9d468,f4a3046c-02dc-4e8c-9e3b-7a9a32365d71,3,5 - Generate Closing Disclosure,,P-AZC-ElroyCD08,1,9/23/2024 7:45:18 PM,9/23/2024 7:45:18 PM,,9/23/2024 7:45:19 PM,,0,,
217db689-1d78-4647-a4eb-ee22dcaed85e,50ed2dd6-121a-46f1-adb8-e2e29090acd0,4,Complete,Redisclosure: 1,P-AZC-ElroyCD08,1,9/23/2024 7:41:01 PM,9/23/2024 7:44:15 PM,,,9/23/2024 7:44:15 PM,194,,
f586677d-93b3-405c-b45d-1a913f1619e9,c09a6d36-d8ad-46c6-a91e-339375aea9f4,3,Loan locked by user,Conventional,P-AZC-ElroyCD12,1,9/23/2024 7:43:11 PM,9/23/2024 7:43:11 PM,9/23/2024 7:58:55 PM,,,13,,
7b6fd7f9-548d-4a55-a4a3-6d1ba8075460,01f6b63e-5f64-416a-a216-aa3ea1313f94,4,3 - Confirm CD was sent,Redisclosure: 0,P-AZC-ElroyCD11,1,9/23/2024 7:42:08 PM,9/23/2024 7:42:08 PM,,9/23/2024 7:42:08 PM,,0,,
ec61d2f4-379d-4ba4-8013-5309f382c192,34c78a23-ac1d-46c7-b872-50d5067f3d64,3,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-Elroy30,1,9/23/2024 7:25:01 PM,9/23/2024 7:37:09 PM,,,9/23/2024 7:37:09 PM,728,,
