Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
198dcd64-05de-493f-8d30-0c761caada26,{feaeffda-ce90-4634-a5a5-634393743f3f},23,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy33,1,8/19/2024 6:22:24 PM,8/19/2024 6:22:24 PM,,8/19/2024 11:21:39 PM,,0,,
f8e4142b-d32c-4827-8804-a7636ea69226,{7e7f6e5d-daf1-4839-94ca-b325c906397d},23,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy31,1,8/19/2024 6:00:52 PM,8/19/2024 6:00:52 PM,,8/19/2024 11:19:51 PM,,0,,
9663c940-b9a8-4eb3-bef0-c893d31780b7,{e9625a3b-f614-49b1-9730-aea329a8461f},23,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy36,1,8/19/2024 5:23:27 PM,8/19/2024 5:23:27 PM,8/19/2024 11:18:08 PM,8/19/2024 11:19:49 PM,,39,,
2f1f3fa5-b1c3-4874-b889-f5f112e4b22d,{f65a3864-6154-4c78-9fc3-8fc686619c89},23,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy07,1,8/19/2024 6:27:18 PM,8/19/2024 6:27:18 PM,,8/19/2024 11:19:44 PM,,0,,
7987d608-0b40-4829-89c8-bccd20d94e00,{34dae00b-9482-486c-aae0-45a2e3300f45},23,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy17,1,8/19/2024 6:27:16 PM,8/19/2024 6:27:16 PM,,8/19/2024 11:19:37 PM,,0,,
2f8a4239-0351-4e62-af68-a7e1cabd8ea0,{a02389fe-4eeb-4feb-a35d-3e869ea09a5f},23,Complete,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy07,1,8/19/2024 5:33:16 PM,8/19/2024 11:19:34 PM,,,8/19/2024 11:19:34 PM,880,,
6ba052bb-c15e-4a72-9caf-8704de23e18c,{847b9ebb-9f36-404f-a7d3-76d096d79d90},23,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy06,1,8/19/2024 6:22:25 PM,8/19/2024 6:22:25 PM,,8/19/2024 11:19:30 PM,,0,,
28ba2ddf-eaee-4f7e-a8ce-f22ac43554f1,{a617f904-8bc9-467c-bf36-3c76684ae30a},23,Started,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy19,1,8/19/2024 5:55:28 PM,8/19/2024 5:55:28 PM,,8/19/2024 11:19:09 PM,,0,,
47abf0d2-9166-4c80-93b7-07ede2d39805,{945cbf94-ffc1-441c-a15c-a7224211968d},23,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy25,1,8/19/2024 6:00:47 PM,8/19/2024 6:00:47 PM,,8/19/2024 11:19:05 PM,,0,,
3bdbfe4b-7096-4ea6-8250-6376d817c3ad,{b43bc214-7047-4655-af61-c33b068b0641},23,,Commitment Letter;Initial Parent Priority: 7,P-AZC-Elroy15,1,8/19/2024 5:55:27 PM,8/19/2024 5:55:27 PM,,8/19/2024 11:19:02 PM,,0,,
