Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
209b46bd-275c-446b-992b-8f9343be6d08,59d5e427-7949-43f1-8cff-b945919ec713,1,Complete,No Docs Added,P-AZC-Elroy28,1,8/21/2024 9:18:09 PM,8/21/2024 9:19:17 PM,,,8/21/2024 9:19:17 PM,68,,
bb119297-38b6-4f7b-99ad-9ee1bcad3635,59d5e427-7949-43f1-8cff-b945919ec713,1,Complete,No Docs Added,P-AZC-Elroy26,2,8/21/2024 8:22:43 PM,8/21/2024 9:18:08 PM,8/21/2024 9:17:09 PM,,8/21/2024 9:18:08 PM,170,,
bb119297-38b6-4f7b-99ad-9ee1bcad3635,59d5e427-7949-43f1-8cff-b945919ec713,1,,Exception: Automatically set exception at CleanUp,P-AZC-Elroy28,1,8/21/2024 8:22:43 PM,8/21/2024 8:22:57 PM,,,,14,8/21/2024 8:22:57 PM,Automatically set exception at CleanUp
86ae43e5-de4a-4b10-bfd9-3a93ec34c229,59d5e427-7949-43f1-8cff-b945919ec713,1,Loan locked by user,Exception: Automatically set exception at CleanUp,P-AZC-Elroy29,3,8/21/2024 4:42:25 AM,8/21/2024 8:22:41 PM,8/21/2024 8:21:58 PM,,,359,8/21/2024 8:22:41 PM,Automatically set exception at CleanUp
86ae43e5-de4a-4b10-bfd9-3a93ec34c229,59d5e427-7949-43f1-8cff-b945919ec713,1,Loan locked by user,Exception: Automatically set exception at CleanUp,P-AZC-Elroy30,2,8/21/2024 4:42:25 AM,8/21/2024 8:22:29 PM,8/21/2024 8:21:58 PM,,,349,8/21/2024 8:22:29 PM,Automatically set exception at CleanUp
86ae43e5-de4a-4b10-bfd9-3a93ec34c229,59d5e427-7949-43f1-8cff-b945919ec713,1,Loan locked by user,Exception: Automatically set exception at CleanUp,P-AZC-Elroy27,1,8/21/2024 4:42:25 AM,8/21/2024 8:22:14 PM,8/21/2024 8:21:58 PM,,,334,8/21/2024 8:22:14 PM,Automatically set exception at CleanUp
4d6f6d62-c997-48ae-8ea2-019d871ac0d7,41854ce7-541b-4cb4-992e-963192163421,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 3:00:28 PM,8/21/2024 7:27:14 PM,8/21/2024 7:25:51 PM,,8/21/2024 7:27:14 PM,214,,
af67d9d0-e124-40c2-bc05-a19a0dd61cfd,c38a1467-687b-4072-aeb3-3337011e45c1,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 7:03:21 PM,8/21/2024 7:04:52 PM,,,8/21/2024 7:04:52 PM,91,,
aba799af-1036-4f94-abcb-b24096d03039,c38a1467-687b-4072-aeb3-3337011e45c1,1,Complete,No Docs Added,P-AZC-Elroy28,1,8/21/2024 5:08:48 AM,8/21/2024 7:03:21 PM,8/21/2024 7:01:58 PM,,8/21/2024 7:03:21 PM,256,,
b7b1a395-f226-4d78-888b-53f3b3c5a25d,7537a8cb-3a05-4cf6-93b3-04b5ab37c329,1,Complete,No Docs Added,P-AZC-Elroy28,1,8/21/2024 8:46:34 AM,8/21/2024 6:44:15 PM,8/21/2024 6:43:27 PM,,8/21/2024 6:44:15 PM,127,,
08675a3e-4b05-4335-bd28-5687f561f72e,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Incomplete - Bad filename,Exception: Retrieve documents - Bad filename,P-AZC-Elroy27,1,8/21/2024 6:31:43 PM,8/21/2024 6:43:36 PM,,,,713,8/21/2024 6:43:36 PM,Retrieve documents - Bad filename
56d12d92-8f6a-4490-85f0-96827f3272c2,1c984424-87df-4f2b-b265-a1f516457319,1,Complete,No Docs Added,P-AZC-Elroy29,1,8/21/2024 6:37:13 PM,8/21/2024 6:38:44 PM,,,8/21/2024 6:38:44 PM,91,,
c16cd917-228f-4ba3-8de9-210bb75ef1b0,1c984424-87df-4f2b-b265-a1f516457319,1,Complete,No Docs Added,P-AZC-Elroy28,1,8/21/2024 3:30:31 AM,8/21/2024 6:37:13 PM,8/21/2024 6:36:19 PM,,8/21/2024 6:37:13 PM,354,,
1655403e-01b1-4404-b9f0-577da6e9ee05,951d86c9-0b90-48df-a3af-9998502e2cd9,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 6:25:11 AM,8/21/2024 6:34:08 PM,8/21/2024 6:32:52 PM,,8/21/2024 6:34:08 PM,153,,
449edf1e-1469-4afa-8117-e8643bd7e9d8,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Incomplete - Bad filename,Exception: Retrieve documents - Bad filename,P-AZC-Elroy29,1,8/21/2024 6:19:53 PM,8/21/2024 6:31:42 PM,,,,709,8/21/2024 6:31:42 PM,Retrieve documents - Bad filename
7b822a7e-5d2f-4ec2-8cee-a4f51637eb6e,d6951339-3cdc-480f-8fcb-f7810e5b413e,1,Complete,No Docs Added,P-AZC-Elroy27,1,8/21/2024 6:29:22 PM,8/21/2024 6:30:59 PM,,,8/21/2024 6:30:59 PM,97,,
d92fab8a-4613-4cec-8dbb-a906466e21aa,d6951339-3cdc-480f-8fcb-f7810e5b413e,1,Complete,Docs Added,P-AZC-Elroy30,1,8/21/2024 5:18:15 AM,8/21/2024 6:29:21 PM,8/21/2024 6:26:16 PM,,8/21/2024 6:29:21 PM,302,,
dfd58ed9-58f9-4e29-bcef-067f9d9929ff,d48e723e-be1b-49a0-8857-f3ae73db12f4,1,Complete,No Docs Added,P-AZC-Elroy30,1,8/21/2024 2:16:28 PM,8/21/2024 6:24:11 PM,8/21/2024 6:23:08 PM,,8/21/2024 6:24:11 PM,92,,
b32e6b78-999c-4e22-91d9-7d5ec8ca7fc6,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Loan Opened,Exception: Automatically set exception at CleanUp,P-AZC-Elroy28,3,8/21/2024 6:05:13 PM,8/21/2024 6:19:53 PM,,,,782,8/21/2024 6:19:53 PM,Automatically set exception at CleanUp
b32e6b78-999c-4e22-91d9-7d5ec8ca7fc6,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Loan Opened,Exception: Automatically set exception at CleanUp,P-AZC-Elroy27,2,8/21/2024 6:05:13 PM,8/21/2024 6:16:37 PM,,,,587,8/21/2024 6:16:37 PM,Automatically set exception at CleanUp
b32e6b78-999c-4e22-91d9-7d5ec8ca7fc6,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Loan Opened,Exception: Automatically set exception at CleanUp,P-AZC-Elroy26,1,8/21/2024 6:05:13 PM,8/21/2024 6:15:18 PM,,,,515,8/21/2024 6:15:18 PM,Automatically set exception at CleanUp
396e0bd9-bb27-456c-8b89-dc34eaf15ed2,6b05d017-cbfa-487e-80e0-930d21089d21,1,Complete,No Docs Added,P-AZC-Elroy29,2,8/21/2024 3:49:33 PM,8/21/2024 6:09:56 PM,,,8/21/2024 6:09:56 PM,227,,
4189210b-449b-462b-a893-0fe9c3e8125b,2018ee96-b9f5-42b7-99ee-c938827f51c8,1,Complete,No Docs Added,P-AZC-Elroy29,2,8/21/2024 12:02:37 PM,8/21/2024 6:09:03 PM,,,8/21/2024 6:09:03 PM,579,,
396e0bd9-bb27-456c-8b89-dc34eaf15ed2,6b05d017-cbfa-487e-80e0-930d21089d21,1,,Exception: Automatically set exception at CleanUp,P-AZC-Elroy30,1,8/21/2024 3:49:33 PM,8/21/2024 6:08:27 PM,,,,174,8/21/2024 6:08:27 PM,Automatically set exception at CleanUp
4189210b-449b-462b-a893-0fe9c3e8125b,2018ee96-b9f5-42b7-99ee-c938827f51c8,1,,Exception: Timout waiting for save confirmation,P-AZC-Elroy28,1,8/21/2024 12:02:37 PM,8/21/2024 6:08:09 PM,,,,525,8/21/2024 6:08:09 PM,Timout waiting for save confirmation
aaca254a-3d44-4ac5-9a10-b9056d86cfcc,101fff98-ce57-445a-a219-1d65541b7f66,1,Complete,No Docs Added,P-AZC-Elroy29,1,8/21/2024 4:50:25 PM,8/21/2024 6:06:58 PM,,,8/21/2024 6:06:58 PM,68,,
1067c53e-ec0b-4a90-b9dd-75715b99fc6f,097b4d55-d9cb-4f99-9781-4951b24c3ead,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 8:46:33 AM,8/21/2024 6:06:43 PM,8/21/2024 6:05:38 PM,,8/21/2024 6:06:43 PM,89,,
5ebbc266-d7ee-4746-b6e6-83fd49034e3f,6dc44fd3-fb9f-4cee-b69a-22905ce657f9,1,Complete,No Docs Added,P-AZC-Elroy29,1,8/21/2024 3:49:32 PM,8/21/2024 6:05:50 PM,,,8/21/2024 6:05:50 PM,58,,
38c04a87-bfe9-4d51-92a0-7c316a382f66,c4fff091-1996-44c1-966c-335152213218,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 3:35:05 PM,8/21/2024 6:05:31 PM,,,8/21/2024 6:05:31 PM,54,,
a27b85bb-cf86-46f5-a8db-39e23a20e31c,399e0d9b-1645-4cb7-8bb5-4bd0d20378a5,1,Complete,No Docs Added,P-AZC-Elroy29,1,8/21/2024 3:15:48 PM,8/21/2024 6:04:51 PM,,,8/21/2024 6:04:51 PM,58,,
b2f81fe3-1d31-44c6-8079-36fe5ff25558,0f535275-10c2-4a67-832e-8d14286f23e5,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 3:01:53 PM,8/21/2024 6:04:37 PM,,,8/21/2024 6:04:37 PM,56,,
25ff593b-e7ef-4dc5-9d89-9f9cda8b450c,066ebbd3-51be-4ba0-bbd7-ae54acebb8d0,1,Loan Opened,Exception: Automatically set exception at CleanUp,P-AZC-Elroy27,3,8/21/2024 5:42:01 AM,8/21/2024 6:03:48 PM,,,,1566,8/21/2024 6:03:48 PM,Automatically set exception at CleanUp
ea0a3299-4148-4de9-a5df-a318b2e6dceb,46443a24-4a6e-4d36-9dff-4ce89e23a1f9,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 1:49:21 PM,8/21/2024 6:03:41 PM,,,8/21/2024 6:03:41 PM,80,,
c4c9c29f-9979-4ff8-941b-108c5f0b8462,3a667bd1-7982-4d19-bd80-9366952582de,1,Complete,No Docs Added,P-AZC-Elroy29,1,8/21/2024 2:46:53 PM,8/21/2024 6:03:37 PM,,,8/21/2024 6:03:37 PM,53,,
d2da4a5f-56b7-4d51-ba74-b8aa64a3c78e,45eba91f-8c60-44b3-9aa0-62bb4248d935,1,Complete,Docs Added,P-AZC-Elroy29,1,8/21/2024 11:53:47 AM,8/21/2024 6:02:12 PM,,,8/21/2024 6:02:12 PM,226,,
b95f9f14-20fa-4b16-b9e4-307180e6f7f2,d196e747-5bc4-45fa-8631-a2cc48528a07,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 6:00:28 AM,8/21/2024 6:02:06 PM,8/21/2024 6:00:53 PM,,8/21/2024 6:02:06 PM,87,,
ecc59a21-291b-483a-8069-50d248406071,82c5f959-81ad-416b-b05c-f7d2dc385f03,1,Complete,No Docs Added,P-AZC-Elroy26,1,8/21/2024 1:25:59 PM,8/21/2024 6:01:11 PM,,,8/21/2024 6:01:11 PM,55,,
