Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
6a28dd7c-d7e1-43b1-9edd-b08cfae534c8,19828665-c05e-4ee5-83a2-640019548411,20,Running,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: exception;UCD/LCLA,P-AZC-ElroyCD04,3,9/2/2024 7:49:38 PM,9/2/2024 8:38:21 PM,9/2/2024 8:32:51 PM,,,1978,9/2/2024 8:38:21 PM,exception
6a28dd7c-d7e1-43b1-9edd-b08cfae534c8,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD04,2,9/2/2024 7:49:38 PM,9/2/2024 8:27:51 PM,9/2/2024 8:11:16 PM,,,1978,9/2/2024 8:27:51 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
6a28dd7c-d7e1-43b1-9edd-b08cfae534c8,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD04,1,9/2/2024 7:49:38 PM,9/2/2024 8:06:16 PM,,,,998,9/2/2024 8:06:16 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
808308c2-ffad-4abc-b21e-1e9718ad9177,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD02,3,9/2/2024 6:49:14 PM,9/2/2024 7:49:09 PM,9/2/2024 7:32:35 PM,,,2970,9/2/2024 7:49:09 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
808308c2-ffad-4abc-b21e-1e9718ad9177,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD02,2,9/2/2024 6:49:14 PM,9/2/2024 7:27:35 PM,9/2/2024 7:10:58 PM,,,1986,9/2/2024 7:27:35 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
808308c2-ffad-4abc-b21e-1e9718ad9177,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD02,1,9/2/2024 6:49:14 PM,9/2/2024 7:05:58 PM,,,,1004,9/2/2024 7:05:58 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
72385c35-ec0f-4da5-b82b-6155e2a0c2de,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Timout waiting for close confirmation;Timout waiting for close confirmation;UCD/LCLA,P-AZC-ElroyCD01,3,9/2/2024 5:44:08 PM,9/2/2024 6:48:53 PM,9/2/2024 6:05:30 PM,,,3069,9/2/2024 6:48:53 PM,Timout waiting for close confirmation
72385c35-ec0f-4da5-b82b-6155e2a0c2de,19828665-c05e-4ee5-83a2-640019548411,20,Running,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Automatically set exception at CleanUp;UCD/LCLA,P-AZC-ElroyCD04,2,9/2/2024 5:44:08 PM,9/2/2024 6:39:19 PM,9/2/2024 6:05:30 PM,,,2524,9/2/2024 6:39:19 PM,Automatically set exception at CleanUp
72385c35-ec0f-4da5-b82b-6155e2a0c2de,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD01,1,9/2/2024 5:44:08 PM,9/2/2024 6:00:30 PM,,,,982,9/2/2024 6:00:30 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
6dfd707d-d42c-440e-b287-bbfca6bdb9d6,19828665-c05e-4ee5-83a2-640019548411,20,Queue,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;Exception: Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load;UCD/LCLA,P-AZC-ElroyCD02,3,9/2/2024 4:43:31 PM,9/2/2024 5:43:43 PM,9/2/2024 5:27:15 PM,,,2994,9/2/2024 5:43:43 PM,Encompass - Outer Window (Top Navigation) :: Navigate - Underwriting = Underwriting Popup did not load
