Id,Status,Tags,Worktime,Process
0009eb53-3758-4db7-ba20-9240026d8920,Complete,Redisclosure: 0,593,ICD
0012f0d9-3c7f-4677-aa7f-c982d44edc8a,Complete,Redisclosure: 1,176,ICD
008c45af-4db5-485a-87a0-63337275c0fa,Complete,Redisclosure: 1,574,ICD
00bd3825-df2b-43ba-b2a4-f5b1a83acf8b,Complete,Conventional;Redisclosure: 0;Run UCD,679,ICD
00dfa0fe-90d1-41ba-98b1-1725fa6959da,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load - Unable to update data via Encompass API - Cause: Loan Locked by User;Redisclosure: 0;Run UCD;System Exception",1544,ICD
01821b1f-20c5-4afd-9bfa-af62124c26ac,Complete,Conventional;Redisclosure: 0;Run UCD,660,ICD
01deb306-45d2-41bf-988e-f09403c21d70,Complete,Redisclosure: 0,595,ICD
01decd54-2c3a-463f-b7df-0a028cdddb60,Complete,Conventional;Redisclosure: 0;Run UCD,710,ICD
01f35eb8-2047-4361-9c65-3f7c6f372d26,Complete,Conventional;Redisclosure: 1;Run UCD,245,ICD
021d0711-2c30-4e24-b761-9312277542e8,Complete,Conventional;Redisclosure: 0;Run UCD,660,ICD
024becc9-cd2a-4d91-87cc-39fa8c71282d,Complete,Redisclosure: 3,1173,ICD
02fa1892-97c8-4b8b-9aae-604ab5748322,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Conventional;Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];System Exception,20,ICD
03894c37-3b00-4fe2-8a3b-23bdd8bd062d,Complete,Conventional;Redisclosure: 0;Run UCD,657,ICD
03d37790-b635-46c9-a90e-b14ac17541ed,Complete,Redisclosure: 1,606,ICD
0453fef5-8d5b-4a36-9af4-de154ceb8b29,Complete,Conventional;Redisclosure: 0;Run UCD,751,ICD
048c0139-2a29-46f6-9e09-4203632bc404,Complete,Redisclosure: 0,575,ICD
04da35dd-252a-4a2b-8fe0-de39472a3311,Complete,Conventional;Redisclosure: 2;Run UCD,678,ICD
04fb3110-a190-44b5-8eb8-d71a9553f082,Complete,Redisclosure: 0,613,ICD
050ac388-bf65-4f67-9649-07d87e594272,Complete,Conventional;Redisclosure: 0;Run UCD,646,ICD
057e9c58-615d-4eed-a75b-d63be3119f03,Complete,Conventional;Redisclosure: 2;Run UCD,301,ICD
059e7eab-9641-4645-bdb0-6a30070ec74c,Complete,Conventional;Redisclosure: 0;Run UCD,1191,ICD
0722dafa-94df-415a-af52-e75b3ce31872,Complete,Redisclosure: 0,533,ICD
0766e903-ac5c-44dd-b102-4a631b74cafc,Complete,Conventional;Redisclosure: 0;Run UCD,682,ICD
076b45ed-4687-4ff4-af38-2eff209febbf,Complete,Redisclosure: 0,585,ICD
077b5054-06e3-4dd7-938a-c601b65c6481,Complete,Conventional;Redisclosure: 2;Run UCD,293,ICD
0842c5bb-eba5-4c82-ba9a-574dceea5606,Complete,Redisclosure: 2,771,ICD
08569b91-6636-4ba1-8d44-4f8023c31235,Complete,Conventional;Redisclosure: 0;Run UCD,637,ICD
0856c41e-1a99-4ae6-b2b0-d57409eec8ac,Complete,Redisclosure: 0,664,ICD
08c987df-97c8-476f-8409-ca07e564f135,Complete,Conventional;Redisclosure: 0;Run UCD,658,ICD
08cd4d34-b358-4d1c-b3f3-131176d0d0ce,Complete,Conventional;Redisclosure: 0;Run UCD,741,ICD
08eba497-1be8-4692-a0e1-bf6da17f0fb8,Complete,Redisclosure: 1,619,ICD
092bc5a6-e788-4569-93a2-bbba4d2c0bfc,Complete,Redisclosure: 4,196,ICD
09868ee6-f976-4d15-b336-81422bf491ca,Complete,Conventional;Redisclosure: 0;Run UCD,1098,ICD
099ad135-3875-4b90-b5ed-2971a570800f,Business Exception,Business Exception;Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure;Exception: Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure,9,ICD
09b0c03c-6156-41a1-9809-9fcad8f9f878,Complete,Redisclosure: 0,760,ICD
0a1c061a-1b4c-4590-8f8d-c7d34874f819,Complete,Conventional;Redisclosure: 1;Redisclosure: 2;Run UCD,1035,ICD
0a40f48e-4649-4a29-bd61-4ea04ad3cc7b,Complete,Redisclosure: 0,608,ICD
0a877f5a-9e46-4a78-8c55-99fede54e590,Complete,Redisclosure: 0,596,ICD
0ac433c0-6671-4e02-ae41-5d445be16628,Complete,Conventional;Redisclosure: 2;Run UCD,727,ICD
0ad58c3d-af7d-40f5-8072-473625414ba4,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 0;Run UCD;System Exception",1718,ICD
0adae1c0-5844-4df3-b187-675a54060c37,Complete,Conventional;Redisclosure: 0;Run UCD,664,ICD
0b11de64-f69a-4801-9402-ed2feb7976ff,Complete,Conventional;Redisclosure: 1;Run UCD,645,ICD
0b2749b2-d787-4e4a-97c5-957ac7880a6c,Complete,Redisclosure: 0,710,ICD
0b5d1bb2-9be2-4e2e-aac6-aa1b8f6c37ba,Complete,Conventional;Redisclosure: 0;Run UCD,700,ICD
0bba1ffb-821b-434d-b850-c17557c15b63,Complete,Conventional;Redisclosure: 0;Run UCD,653,ICD
0bdfdda8-fe00-4c8b-8259-099f6b8a2211,Complete,Conventional;Redisclosure: 1;Run UCD,256,ICD
0c025345-5a10-4dcf-a783-5898d4f9926a,Complete,Conventional;Redisclosure: 0;Run UCD,619,ICD
0c534714-abfe-4721-98a7-a0b847f1ad95,Complete,Conventional;Redisclosure: 0;Run UCD,649,ICD
0c8c60ff-9bd3-4dd1-98ee-7400919f4665,Complete,Conventional;Redisclosure: 4;Redisclosure: 5;Run UCD,954,ICD
0cb763bd-ec47-47b9-a0b0-ec143bd2b901,Complete,Conventional;Redisclosure: 0;Run UCD,1255,ICD
0cd4aaf6-1567-4069-8580-bc46a378192a,Complete,Conventional;Redisclosure: 0;Run UCD,685,ICD
0d025d23-ca64-457a-8f3b-3dadabb5c378,Complete,Redisclosure: 2,162,ICD
0d076802-3d6e-4047-a152-e2a942c4cc70,Complete,Redisclosure: 1,537,ICD
0d56951c-152d-468f-9352-950ae6651b1d,Complete,Conventional;Redisclosure: 0;Run UCD,688,ICD
0dd2cadf-7e3e-40cf-ad61-7aef3e0b33ec,Complete,Conventional;Redisclosure: 0;Run UCD,685,ICD
0ddad84f-4383-4dad-81dc-7a27bed8e97a,Complete,Conventional;Redisclosure: 0;Run UCD,1285,ICD
0e8428b3-882c-43f0-8ab2-03212a39a2eb,Complete,Conventional;Redisclosure: 1;Run UCD,726,ICD
0ec3fd8d-cf96-44b6-b853-3b8f14a555de,Complete,Redisclosure: 1,903,ICD
0f056397-cb44-45e8-a652-8eb56e5f42cf,Complete,Redisclosure: 0,572,ICD
0f3a56b9-1361-4e85-8762-63c90fc695b4,Complete,Conventional;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;Run UCD;System Exception,2115,ICD
0f632f1e-5a8e-4a03-adb0-ade3a5aa190e,Complete,Conventional;Redisclosure: 0;Redisclosure: 1;Run UCD,1369,ICD
0f6edecf-10a6-4842-b761-6af995b573c1,Complete,Redisclosure: 0,638,ICD
0fd217e8-e025-4194-a7de-31bb67505e72,Complete,Conventional;Redisclosure: 2;Run UCD,773,ICD
0ff669d5-d867-416b-8393-49514df01834,Complete,Conventional;Redisclosure: 0;Run UCD,659,ICD
109c1318-db37-41a6-b9e7-7a88f8296b23,Complete,Redisclosure: 0,536,ICD
11208910-b472-4405-916b-693923f5cd37,Complete,Conventional;Redisclosure: 0;Run UCD,682,ICD
11494dcb-f843-4af3-a9b8-776e9f568e7f,Complete,Conventional;Redisclosure: 1;Run UCD,733,ICD
1156098c-0fcf-4a18-a2b7-9a430ca5d497,Exception,Conventional;Exception: Automatically set exception at CleanUp,3374,ICD
118d3b4d-1fbc-4d62-8dc1-7af55588bbe9,Complete,Redisclosure: 0,510,ICD
11a50fee-e06e-4cfb-801b-b365cc6913b4,Complete,Conventional;Redisclosure: 1;Run UCD,270,ICD
12284ead-fd53-412f-adba-248d7511e34d,Business Exception,Business Exception;Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure;Conventional;Exception: Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure,10,ICD
126d5bcd-08dd-4c48-9920-ccd9b51aa75d,Complete,Redisclosure: 0,547,ICD
127344c9-a53c-45a4-98a2-b09fbd32b252,Locked,Conventional,0,ICD
12813834-20b1-43b9-85d4-51b9916ab242,Complete,Conventional;Redisclosure: 0;Run UCD,681,ICD
1293911b-4f5b-46ce-8ab3-b4100109dd04,Complete,Conventional;Redisclosure: 0;Run UCD,668,ICD
12b06989-f3ac-4e5a-a613-053943e017ac,Complete,Conventional;Redisclosure: 0;Run UCD,755,ICD
12bb6ca4-0e1d-4b97-94ae-33a2d4c210ed,Complete,Conventional;Redisclosure: 0;Run UCD,697,ICD
137ab6be-402e-4e4b-b656-5afa28f85a69,Complete,Conventional;Redisclosure: 2;Run UCD,217,ICD
13818a64-00ce-4dfe-bbfc-737314f7e501,Complete,Conventional;Redisclosure: 0;Run UCD,731,ICD
138210aa-9946-496d-b24e-ca58658ef611,Complete,Conventional;Redisclosure: 0;Run UCD,792,ICD
140c06a8-db52-4982-a323-e39b8ac9c424,Complete,Redisclosure: 1,559,ICD
146a2833-fbed-47aa-810e-5c06f554bd7a,Complete,Conventional;Redisclosure: 1;Run UCD,232,ICD
14f4d845-1d0f-4e62-ba70-396ba9a60194,Complete,Redisclosure: 0,595,ICD
15254c52-3d84-4af6-bb19-7442fcf0a367,Complete,Redisclosure: 0,628,ICD
156891ec-86b3-4e0d-b28a-944293fecf47,Complete,Conventional;Redisclosure: 0;Run UCD,622,ICD
159deebe-bca5-4669-8449-0a2273de7397,Complete,Conventional;Redisclosure: 0;Run UCD,681,ICD
15d5d7e0-9763-4058-8ec0-70f42d32ad17,Complete,Conventional;Redisclosure: 0;Run UCD,693,ICD
15fe7050-0827-4d2f-b60c-59f1c4af7048,Locked,Conventional,0,ICD
169856e6-0eee-44d0-9d75-03ef67d45f1c,Complete,Redisclosure: 0,638,ICD
16d4a034-b311-427b-aeb5-15c922b4faa7,Business Exception,"Business Exception;Business Exception: Closing Disclosure Errors: Pricing Comparison Mismatch;Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Business Exception: Closing Disclosure Errors: Pricing Comparison Mismatch;System Exception",899,ICD
16fc2f8f-a7a1-485d-9e99-692026e00f5e,Complete,Redisclosure: 0,633,ICD
171fe67d-7644-4ab7-a80c-119d0c15dac5,Complete,Redisclosure: 0,541,ICD
1746d06e-c96e-4d13-bef9-6f502bcc2fc5,Complete,Redisclosure: 0,628,ICD
17c557ab-5af9-4ab0-8654-7cd260a820c3,Complete,Redisclosure: 0,615,ICD
17cb12c7-25ad-430c-a571-5b0dcb73987c,Complete,Redisclosure: 0,663,ICD
184cc2b2-f58a-4ea4-9b17-300faae77f90,Complete,Conventional;Redisclosure: 0;Run UCD,629,ICD
188ec2f1-e68f-44b8-a37d-3ce7708a8e9a,Complete,Conventional;Redisclosure: 0;Run UCD,671,ICD
18938aea-972f-4c40-8efb-ff4243929d2f,Complete,Redisclosure: 0,627,ICD
19840cbd-47e7-419f-9afb-969f254aca24,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 0;Run UCD;System Exception",1570,ICD
1ad944f0-d245-478e-9e58-586d15a11c28,Complete,Conventional;Redisclosure: 0;Run UCD,637,ICD
1b16cf46-3f51-425a-a005-8d15ec451161,Complete,Conventional;Redisclosure: 0;Run UCD,715,ICD
1b340443-8399-4362-b1e3-44c026139f29,Complete,Redisclosure: 1,236,ICD
1b7f7ac3-6c08-498c-a2c3-f71275d1997e,Complete,Conventional;Redisclosure: 0;Run UCD,668,ICD
1c36d8b2-4992-44c5-98f7-3886bfd44776,Complete,Redisclosure: 0,558,ICD
1cd4e3fc-388f-4779-9934-d126b936ecf9,Complete,Redisclosure: 0,538,ICD
1e3b3fcb-beea-4950-a2fa-7fb3d5181df7,Complete,Conventional;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 2;Run UCD;System Exception,1452,ICD
1e78b3a3-bb1a-4b5b-9776-f31ecfd6c7ac,Complete,Conventional;Redisclosure: 1;Run UCD,222,ICD
1f0e79d1-bb7d-4647-9e0e-dacc9d4d9a37,Complete,Conventional;Redisclosure: 0;Run UCD,636,ICD
1f291217-126c-4cec-aa18-f714aa372b7b,Complete,Redisclosure: 0,555,ICD
1f51bc62-0a4b-4700-a1cb-ae96de77562f,Complete,Conventional;Redisclosure: 1;Run UCD,691,ICD
1fa02e7b-4c1c-43a4-814c-c51e09fd0f0f,Complete,Redisclosure: 0,604,ICD
1fb890b3-4ac2-4526-a5a0-68605d27f44d,Complete,Conventional;Redisclosure: 0;Run UCD,726,ICD
1fccb3f9-63cb-4b4f-9cc0-3a64c72ff1b1,Complete,Conventional;Redisclosure: 0;Run UCD,790,ICD
201c9aa2-683c-4f95-900e-dc6ed59e3144,Complete,Conventional;Redisclosure: 0;Run UCD,698,ICD
208c0447-76c8-40fb-859c-c9b3bad03c0c,Complete,Conventional;Redisclosure: 1;Run UCD,669,ICD
20c419e3-9934-4764-897e-3dc4f679a617,Complete,Conventional;Redisclosure: 0;Redisclosure: 1;Redisclosure: 2;Run UCD,1892,ICD
20ec0475-ce2c-4822-a7e3-d93db44e4f44,Complete,Conventional;Redisclosure: 0;Run UCD,708,ICD
2122940e-ea9f-4271-bd2f-29006324e58d,Complete,Redisclosure: 0,592,ICD
21ad4cbd-f511-4947-9f83-0e575f9bdd69,Business Exception,Business Exception;Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure;Exception: Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure,10,ICD
22133d29-496a-4b1e-bf41-eebc911c005a,Complete,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 0;System Exception",1462,ICD
2214f883-72a8-4b0c-bc03-a2e02e4f9fc3,Complete,Conventional;Redisclosure: 0;Run UCD,667,ICD
227c1d51-4d87-4bd5-9140-c90fdbdac5e8,Complete,Redisclosure: 6,247,ICD
229117ba-5155-4126-b6b9-49d3f6dff820,Complete,Redisclosure: 0,605,ICD
22d99a7c-9f19-4f8a-abe7-283f04e2d950,Complete,Conventional;Redisclosure: 0;Run UCD,687,ICD
23039ba7-9567-46eb-883e-dde03fd721b7,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Automatically set exception at CleanUp;System Exception",4205,ICD
234a5136-df29-47de-8548-1bbb226edf73,Complete,Conventional;Redisclosure: 2;Redisclosure: 3;Run UCD,1884,ICD
23704f92-ccff-46fd-8455-6f3ccf9420b4,Complete,Conventional;Redisclosure: 0;Redisclosure: 1;Run UCD,1100,ICD
24401954-5716-453d-b4d7-8f378788fda5,Complete,Redisclosure: 0,569,ICD
245b0aba-7fd7-4374-a15f-5ff52729688a,Complete,Conventional;Redisclosure: 1;Run UCD,226,ICD
